CustomerID,frequency,recency,T,monetary_value,predicted_purchases_6m,predicted_avg_value,predicted_LTV_6m,Gender,Location,Tenure_Months,Marketing_Spend,ROI_pct,ROI_ratio,Coupon_Count,Coupon_Usage_Quartile
12347,0.0,0.0,169.0,0.0,0.4188710451304406,1389.001198587492,581.8123837397774,M,New York,20,3881.8710000000005,-85.01206290111708,0.14987937098882917,12,Q4
12348,0.0,0.0,79.0,0.0,0.6449006757498477,1389.001198587492,895.7678115864219,M,California,39,299.618,198.96995894319497,2.98969958943195,10,Q4
12359,0.0,0.0,17.0,0.0,1.0423610498064495,1389.001198587492,1447.8407475420747,M,New York,41,120.362,1102.905192288326,12.029051922883259,3,Q1
12370,1.0,30.0,106.0,691.79,0.7556175398503928,1263.4393439650887,954.6769288370946,F,New York,21,1442.394,-33.81302689576533,0.6618697310423467,12,Q4
12377,0.0,0.0,66.0,0.0,0.7001665020122176,1389.001198587492,972.5321105057818,F,California,27,1629.616,-40.32139408880486,0.5967860591119514,11,Q4
12383,2.0,42.0,58.0,1326.29,2.3820702755549674,1369.8607214668086,3263.104506256367,M,New York,32,555.723,487.18183452122145,5.871818345212215,15,Q4
12386,1.0,123.0,166.0,57.94,0.7459961406363705,1149.2883066414634,857.3646412330412,M,California,38,165.379,418.4241295648427,5.184241295648428,5,Q2
12388,0.0,0.0,1.0,0.0,1.2471835961273716,1389.001198587492,1732.3395098795777,M,Chicago,31,210.666,722.3156607518906,8.223156607518906,7,Q3
12393,1.0,14.0,23.0,483.92,1.7994912663792957,1226.003710726212,2206.182970000427,F,Chicago,39,446.686,393.90018267875575,4.939001826787558,7,Q3
12395,2.0,161.0,212.0,393.25,1.1226471202526782,1085.0817477757482,1218.163899379187,F,New Jersey,10,327.57800000000003,271.86987507683267,3.718698750768326,9,Q3
12413,1.0,22.0,40.0,22.79,1.4912566043243147,1142.9580881955765,1704.443797487546,F,New Jersey,15,293.313,481.10066634876256,5.811006663487626,6,Q2
12415,2.0,18.0,45.0,15.075,2.3616920469400777,969.6565908954248,2290.0302589807534,M,Chicago,29,277.709,724.6150679238892,8.246150679238891,8,Q3
12417,1.0,36.0,75.0,62.21,1.0792881312627216,1150.0572976162557,1241.243191589304,F,California,37,286.904,332.6336306183615,4.326336306183615,11,Q4
12423,0.0,0.0,59.0,0.0,0.7341789265813142,1389.001198587492,1019.7754089991236,M,New York,9,72.593,1304.7847712577295,14.047847712577294,5,Q2
12427,1.0,163.0,220.0,897.56,0.6115194995181084,1300.4967849212808,795.2791430399707,F,New York,37,180.454,340.71017713099775,4.407101771309978,6,Q2
12429,0.0,0.0,149.0,0.0,0.4540231639035437,1389.001198587492,630.6387188485076,F,New Jersey,43,223.974,181.56782432269262,2.8156782432269263,5,Q2
12431,2.0,176.0,250.0,981.635,0.9530957873864824,1264.6664134226814,1205.348231082329,F,New Jersey,14,910.2520000000001,32.419179642816374,1.3241917964281638,11,Q4
12433,2.0,91.0,243.0,2972.35,0.6141087515801208,1872.2649886299605,1149.7743147947142,M,California,32,1376.135,-16.449017371499583,0.8355098262850041,8,Q3
12434,0.0,0.0,109.0,0.0,0.546087420504399,1389.001198587492,758.5160816141619,F,Chicago,32,6.303999999999999,11932.298248955616,120.32298248955614,2,Q1
12437,0.0,0.0,16.0,0.0,1.053070026506383,1389.001198587492,1462.7155290139278,F,New Jersey,50,714.354,104.76059894869039,2.047605989486904,7,Q3
