"customer_id","customer_gender","customer_location","customer_tenure_months","transaction_id","transaction_date","produkt_sku","product_category","quantity","avg_price","delivery_charges","coupon_status","discount_pct","gst_onsale","offline_spend_that_day","online_spend_that_day","transaction_year","transaction_month","transaction_month_str","transaction_day_of_month","transaction_day_of_week"
15811,F,Illinois,27,25990,2019-04-19,GGOEWCKQ085457,Accessories,1,16.99,6.0,Clicked,10,0.1,4000,1754.92,2019.0,4.0,apr,19.0,friday
17999,F,New Jersey,30,25038,2019-04-07,GGOEGBPB081999,Accessories,1,49.99,6.5,Used,10,0.1,2500,2719.46,2019.0,4.0,apr,7.0,sunday
17999,F,New Jersey,30,25038,2019-04-07,GGOEGBPB082099,Accessories,1,59.99,6.5,Clicked,10,0.1,2500,2719.46,2019.0,4.0,apr,7.0,sunday
18116,F,Illinois,38,26637,2019-04-28,GGOEGBPB081999,Accessories,1,39.99,6.0,Clicked,10,0.1,3500,2019.73,2019.0,4.0,apr,28.0,sunday
16889,F,Illinois,23,34452,2019-08-02,GGOEGBPB081999,Accessories,1,34.99,6.0,Used,20,0.1,1500,2155.96,2019.0,8.0,aug,2.0,friday
13093,M,California,35,36771,2019-08-28,GGOEWCKQ085457,Accessories,1,13.59,12.99,Not Used,20,0.1,3000,2178.57,2019.0,8.0,aug,28.0,wednesday
16850,M,California,22,35567,2019-08-14,GGOEWCKQ085457,Accessories,1,16.99,6.0,Used,20,0.1,3500,1984.92,2019.0,8.0,aug,14.0,wednesday
17965,F,Illinois,7,36278,2019-08-22,GGOEGBPB081999,Accessories,1,27.99,6.0,Used,20,0.1,2500,1172.96,2019.0,8.0,aug,22.0,thursday
14669,F,New York,39,36037,2019-08-18,GGOEWCKQ085457,Accessories,1,16.99,6.0,Clicked,20,0.1,3500,1696.64,2019.0,8.0,aug,18.0,sunday
17811,M,California,35,35547,2019-08-14,GGOEWCKQ085457,Accessories,1,16.99,6.0,Clicked,20,0.1,3500,1984.92,2019.0,8.0,aug,14.0,wednesday
15311,F,Illinois,40,36474,2019-08-24,GGOEGBPB081999,Accessories,6,27.99,6.0,Clicked,20,0.1,2500,2168.34,2019.0,8.0,aug,24.0,saturday
18260,M,New York,43,35325,2019-08-11,GGOEWCKQ085457,Accessories,2,13.59,18.36,Used,20,0.1,3000,2563.83,2019.0,8.0,aug,11.0,sunday
16515,F,New Jersey,19,45992,2019-12-07,GGOEGFKA086699,Accessories,4,4.07,12.48,Used,30,0.1,3500,3396.14,2019.0,12.0,dec,7.0,saturday
17672,M,California,39,47436,2019-12-18,GGOEAFKA087499,Accessories,1,3.05,6.0,Clicked,30,0.1,4500,663.46,2019.0,12.0,dec,18.0,wednesday
14606,F,Illinois,33,45884,2019-12-06,GGOEGFKA086699,Accessories,1,4.07,12.48,Clicked,30,0.1,3500,1957.58,2019.0,12.0,dec,6.0,friday
17619,F,New York,30,45281,2019-12-01,GGOEAFKA087499,Accessories,2,3.05,6.0,Used,30,0.1,3000,2358.1,2019.0,12.0,dec,1.0,sunday
14735,M,Illinois,46,46883,2019-12-14,GGOEGFKA086699,Accessories,1,4.07,6.5,Clicked,30,0.1,4000,3434.31,2019.0,12.0,dec,14.0,saturday
16745,F,New York,29,45845,2019-12-06,GGOEAFKA087599,Accessories,1,3.05,6.0,Clicked,30,0.1,3500,1957.58,2019.0,12.0,dec,6.0,friday
17337,F,California,44,47059,2019-12-15,GGOEAFKA087499,Accessories,3,3.05,6.0,Clicked,30,0.1,4000,3577.45,2019.0,12.0,dec,15.0,sunday
17337,F,California,44,47059,2019-12-15,GGOEAFKA087599,Accessories,5,3.05,6.0,Used,30,0.1,4000,3577.45,2019.0,12.0,dec,15.0,sunday
14735,M,Illinois,46,46883,2019-12-14,GGOEAFKA087599,Accessories,1,2.44,6.5,Clicked,30,0.1,4000,3434.31,2019.0,12.0,dec,14.0,saturday
12681,M,Illinois,27,45433,2019-12-03,GGOEAFKA087499,Accessories,1,2.44,6.5,Not Used,30,0.1,3500,2011.57,2019.0,12.0,dec,3.0,tuesday
