customer_id,predicted_6m_ltv,future_6m_ltv,segment,segment_name
12347,2459.8306999999986,2850.52,0,Mid-Low
12348,963.2609000000008,760.24,2,Low
12370,1482.7002999999997,0.0,1,Mid-High
12386,346.48189999999965,57.94,2,Low
12395,570.3612,85.0,1,Mid-High
12417,537.5587999999999,1284.74,2,Low
12427,1131.2939999999992,897.5600000000001,0,Mid-Low
12429,381.93809999999996,0.0,0,Mid-Low
12431,2480.509900000001,2698.9700000000003,1,Mid-High
12433,1433.7868000000005,0.0,1,Mid-High
12434,316.90829999999994,0.0,2,Low
12441,258.28130000000004,0.0,0,Mid-Low
12471,5075.936800000005,5506.2,1,Mid-High
12472,4554.377200000005,4371.09,1,Mid-High
12474,4269.2698000000055,6705.53,0,Mid-Low
12476,2288.144499999998,3148.84,2,Low
12481,6551.0822000000035,10661.18,2,Low
12494,139.32959999999983,14.4,1,Mid-High
12540,2211.8402999999976,3170.15,2,Low
12551,357.48209999999995,0.0,2,Low
12557,396.77929999999964,77.66999999999999,0,Mid-Low
12567,5759.599299999997,6877.12,1,Mid-High
12577,752.9400999999998,0.0,2,Low
12583,941.0131999999999,1685.62,0,Mid-Low
12586,49.08080000000001,0.0,2,Low
12600,846.6855999999998,419.71999999999997,1,Mid-High
12605,143.09590000000003,0.0,2,Low
12621,1846.5639999999999,0.0,1,Mid-High
12647,1399.4576999999997,0.0,1,Mid-High
12649,139.4637,0.0,2,Low
12662,2107.5598999999993,1497.15,0,Mid-Low
12666,413.4675,0.0,2,Low
12668,3971.289499999997,5341.35,2,Low
12681,1703.0904999999998,13634.1,0,Mid-Low
12682,5572.12419999999,7294.97,1,Mid-High
12683,3843.369900000005,4623.889999999999,0,Mid-Low
12686,145.56169999999997,0.0,0,Mid-Low
12691,1214.740999999999,558.06,2,Low
12705,985.6650999999999,0.0,2,Low
12708,619.9789,2072.84,0,Mid-Low
12709,1561.1959999999992,1750.3,1,Mid-High
12712,2286.563299999998,2550.24,1,Mid-High
12720,3330.453100000001,3837.48,1,Mid-High
12721,1563.0230999999999,2080.8,2,Low
12725,919.0785000000001,0.0,0,Mid-Low
12726,1206.595900000001,1320.52,2,Low
12731,7199.706499999996,11311.2,2,Low
12738,163.553,0.0,0,Mid-Low
12747,1295.110099999998,1039.4,1,Mid-High
12748,32812.00139999995,5518.3,3,High
12753,667.4214000000009,165.66,2,Low
12755,312.82099999999997,0.0,2,Low
12763,384.36350000000004,0.0,0,Mid-Low
12766,2365.292699999997,1353.33,2,Low
12779,596.3720999999999,2347.39,0,Mid-Low
12782,2255.956799999997,2767.27,2,Low
12785,702.5684,0.0,2,Low
12791,166.52630000000002,0.0,0,Mid-Low
12793,1264.7946999999983,1449.9,0,Mid-Low
12797,482.7626000000001,0.0,1,Mid-High
12808,726.2722,0.0,0,Mid-Low
12826,4564.512899999996,7667.55,2,Low
12829,495.9018999999995,408.27,2,Low
12838,973.9005000000001,0.0,0,Mid-Low
12839,1234.2066,0.0,1,Mid-High
12841,1740.9294000000007,7455.19,0,Mid-Low
12855,882.1529,0.0,0,Mid-Low
12865,767.3117,0.0,2,Low
12867,468.0301999999999,0.0,2,Low
12868,2609.273100000003,4205.82,0,Mid-Low
12870,260.0067,0.0,2,Low
12872,1692.8094999999978,1800.34,2,Low
12875,875.1035000000005,0.0,2,Low
12877,843.5465000000005,222.95999999999998,2,Low
12913,97.2211,0.0,2,Low
12915,292.47690000000006,0.0,0,Mid-Low
12921,1733.5254000000004,2118.69,1,Mid-High
12928,1096.4300000000005,0.0,2,Low
12931,1010.7086000000006,0.0,2,Low
12942,269.5327,0.0,2,Low
12947,3327.934200000002,2637.88,1,Mid-High
12963,799.8281999999999,0.0,2,Low
12967,1668.8889,0.0,1,Mid-High
12971,3442.512699999999,2977.06,1,Mid-High
12980,496.0647,332.18,2,Low
12989,387.2325999999998,20.59,2,Low
13000,953.4297999999998,0.0,2,Low
13004,2665.032900000002,4038.1,2,Low
13008,1359.356100000001,1949.55,2,Low
13011,120.50110000000001,0.0,0,Mid-Low
13013,747.4689000000002,0.0,0,Mid-Low
13021,430.07969999999995,0.0,1,Mid-High
13030,638.1433000000001,0.0,0,Mid-Low
13033,639.5286,0.0,2,Low
13034,239.0255,0.0,2,Low
13047,1954.6622000000018,2321.16,0,Mid-Low
13050,5377.6456,4979.07,1,Mid-High
13065,469.50380000000007,0.0,0,Mid-Low
13069,4748.444200000005,4837.59,1,Mid-High
13077,140.88979999999998,0.0,2,Low
13078,1162.5459000000014,922.0699999999999,1,Mid-High
13081,9863.019600000007,13891.39,0,Mid-Low
13089,17187.36360000002,24428.8,1,Mid-High
13090,453.2034999999997,396.63,1,Mid-High
13092,317.06059999999997,0.0,2,Low
13093,7460.252599999996,9639.62,1,Mid-High
13094,379.02899999999977,164.98,0,Mid-Low
13097,1824.1796999999983,2209.61,2,Low
13102,3661.1564000000035,5008.03,1,Mid-High
13108,819.3075,0.0,0,Mid-Low
13113,1963.9620999999993,4922.37,0,Mid-Low
13115,306.5781,125.0,2,Low
13117,1193.5799000000018,636.46,1,Mid-High
13124,715.9686,0.0,2,Low
13126,1234.871699999999,1461.12,2,Low
13136,731.8327,0.0,2,Low
13138,356.0378,0.0,0,Mid-Low
13140,247.86900000000003,0.0,2,Low
13145,85.54880000000001,0.0,0,Mid-Low
13148,12065.027999999986,18321.45,2,Low
13155,1078.9959000000003,354.92,0,Mid-Low
13173,187.29260000000002,0.0,0,Mid-Low
13174,9035.10300000001,8321.9,0,Mid-Low
13178,967.7162000000003,0.0,2,Low
13198,3347.5516000000007,4315.19,2,Low
13199,848.749700000001,593.5699999999999,1,Mid-High
13209,533.1708000000007,173.33,2,Low
13211,71.589,0.0,2,Low
13221,475.1572,0.0,2,Low
13225,500.9271000000005,477.15,2,Low
13230,6267.573199999997,9875.16,2,Low
13238,464.0954000000001,0.0,2,Low
13240,275.1528,0.0,2,Low
13255,421.5505000000001,0.0,0,Mid-Low
13266,76.13690000000001,0.0,2,Low
13267,9115.616700000002,13572.39,1,Mid-High
13269,2381.019300000001,0.0,1,Mid-High
13270,1020.6319999999997,0.0,2,Low
13295,249.74530000000001,0.0,1,Mid-High
13305,1122.7975000000001,0.0,0,Mid-Low
13317,313.17260000000005,0.0,2,Low
13319,2523.3162,4385.57,2,Low
13324,1155.0804000000012,1890.94,2,Low
13327,433.3695,0.0,2,Low
13329,279.42860000000013,16.630000000000003,1,Mid-High
13369,870.9498000000007,536.99,2,Low
13370,1123.3513,0.0,1,Mid-High
13402,164.7696,0.0,0,Mid-Low
13408,3454.3839000000007,4127.67,1,Mid-High
13418,630.2687,0.0,1,Mid-High
13426,601.774699999999,655.27,2,Low
13448,593.3937000000001,0.0,1,Mid-High
13455,660.3225999999992,237.63,0,Mid-Low
13458,1772.3080999999988,2210.31,2,Low
13468,2536.707999999998,2119.74,1,Mid-High
13481,230.3423,0.0,2,Low
13488,6628.741300000008,8673.64,0,Mid-Low
13491,2221.609699999998,3274.27,1,Mid-High
13495,532.2404,0.0,1,Mid-High
13496,557.1643,0.0,2,Low
13497,440.22780000000006,0.0,0,Mid-Low
13506,1147.9389000000012,1405.85,0,Mid-Low
13520,2496.5481999999975,3641.02,0,Mid-Low
13523,273.3009,0.0,2,Low
13531,1041.5932,0.0,0,Mid-Low
13534,850.6451000000001,3521.16,2,Low
13564,2614.9951999999994,3889.0,0,Mid-Low
13569,520.8265,0.0,0,Mid-Low
13576,937.2759000000005,1352.99,0,Mid-Low
13579,123.04390000000001,0.0,0,Mid-Low
13599,1241.845699999999,686.26,1,Mid-High
13611,316.0815,0.0,2,Low
13627,809.2055000000001,0.0,2,Low
13649,379.64759999999995,0.0,2,Low
13652,1690.243300000001,0.0,2,Low
13668,2973.9773999999993,4016.25,2,Low
13694,3279.5549000000005,3408.0,1,Mid-High
13705,262.20399999999995,0.0,0,Mid-Low
13715,2558.401200000002,2907.91,1,Mid-High
13747,258.19450000000006,0.0,0,Mid-Low
13748,282.7163,0.0,0,Mid-Low
13756,576.9277,0.0,1,Mid-High
13758,662.5886000000002,408.93,1,Mid-High
13767,2530.0136999999995,843.53,1,Mid-High
13769,1416.4039000000018,1731.46,1,Mid-High
13777,3890.959299999997,4657.68,1,Mid-High
13786,294.24529999999993,0.0,2,Low
13787,444.44469999999995,0.0,2,Low
13798,5003.5252000000055,6117.71,1,Mid-High
13802,889.4532999999997,1103.27,2,Low
13807,28.2199,0.0,0,Mid-Low
13829,813.9140999999997,0.0,2,Low
